"Name","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_r_foot","p1_l_leg_up","p1_l_leg_low","p1_l_foot","p1_main_weapon","p1_sub_weapon","p1_special_1","p1_special_2","p1_special_3","p1_special_4","p1_special_5","p1_special_6","p1_special_7","p1_special_8","p1_special_9","p1_special_10","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_r_foot","p2_l_leg_up","p2_l_leg_low","p2_l_foot","p2_main_weapon","p2_sub_weapon","p2_special_1","p2_special_2","p2_special_3","p2_special_4","p2_special_5","p2_special_6","p2_special_7","p2_special_8","p2_special_9","p2_special_10","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_r_foot","p3_l_leg_up","p3_l_leg_low","p3_l_foot","p3_main_weapon","p3_sub_weapon","p3_special_1","p3_special_2","p3_special_3","p3_special_4","p3_special_5","p3_special_6","p3_special_7","p3_special_8","p3_special_9","p3_special_10","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_r_foot","p4_l_leg_up","p4_l_leg_low","p4_l_foot","p4_main_weapon","p4_sub_weapon","p4_special_1","p4_special_2","p4_special_3","p4_special_4","p4_special_5","p4_special_6","p4_special_7","p4_special_8","p4_special_9","p4_special_10","effect_1","effect_2","effect_3","effect_4","effect_5","effect_6","effect_7","effect_8","frame_property","animation_property","sound_effect"
"Default/0","Mecha_bird,Head,164,-200,-35,0,4,1,1,0","Mecha_bird,Neck,115,-170,-54,0,6,1,1,0","Mecha_bird,Body,28,-157,-84,0,7,1,1,0","Mecha_bird,Fly,-63,-334,-33,0,10,1,1,0",,,"Mecha_bird,Fly,-100,-303,-29,0,0,1,1,0",,,"Mecha_bird,Leg Up,-3,-85,-10,0,6,1,1,0","Mecha_bird,Leg Low,-17,-39,-23,0,7,1,1,0","Mecha_bird,Foot,-24,16,-49,0,7,1,1,0","Mecha_bird,Leg Up,33,-89,-12,0,9,1,1,0","Mecha_bird,Leg Low,7,-37,-30,0,10,1,1,0","Mecha_bird,Foot,-5,16,-44,0,11,1,1,0",,,"Mecha_bird,Tail,-91,-168,-50,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attack1/0","Mecha_bird,Head,173,-185,-49,0,4,1,1,0","Mecha_bird,Neck,115,-167,-54,0,6,1,1,0","Mecha_bird,Body,31,-151,-84,0,7,1,1,0","Mecha_bird,Fly,-50,-325,-38,0,10,1,1,0",,,"Mecha_bird,Fly,-106,-292,-23,0,0,1,1,0",,,"Mecha_bird,Leg Up,1,-81,-15,0,6,1,1,0","Mecha_bird,Leg Low,-27,-39,-25,0,7,1,1,0","Mecha_bird,Foot,-36,16,-51,0,7,1,1,0","Mecha_bird,Leg Up,36,-82,-10,0,9,1,1,0","Mecha_bird,Leg Low,-3,-33,-42,0,10,1,1,0","Mecha_bird,Foot,-17,16,-46,0,11,1,1,0",,,"Mecha_bird,Tail,-88,-148,-37,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Base,-42,26,-2,0,13,1,1,0",,,,,,,,,,
"Attack1/1","Mecha_bird,Head,173,-181,-52,0,4,1,1,0","Mecha_bird,Neck,114,-164,-59,0,6,1,1,0","Mecha_bird,Body,31,-151,-88,0,7,1,1,0","Mecha_bird,Fly,-12,-355,-55,0,10,1,1,0",,,"Mecha_bird,Fly,-120,-292,-21,0,0,1,1,0",,,"Mecha_bird,Leg Up,8,-79,-8,0,6,1,1,0","Mecha_bird,Leg Low,-7,-39,-5,0,7,1,1,0","Mecha_bird,Foot,4,16,-41,0,7,1,1,0","Mecha_bird,Leg Up,36,-82,10,0,9,1,1,0","Mecha_bird,Leg Low,27,-33,-12,0,10,1,1,0","Mecha_bird,Foot,46,16,-6,0,11,1,1,0",,,"Mecha_bird,Tail,-85,-173,-57,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Speed,104,84,-156,0,13,1,1,1",,,,,,,,,,
"Attack1/2","Mecha_bird,Head,173,-179,-59,0,4,1,1,0","Mecha_bird,Neck,113,-164,-60,0,6,1,1,0","Mecha_bird,Body,31,-151,-89,0,7,1,1,0","Mecha_bird,Fly,-12,-355,-58,0,10,1,1,0",,,"Mecha_bird,Fly,-123,-289,-19,0,0,1,1,0",,,"Mecha_bird,Leg Up,5,-83,0,0,6,1,1,0","Mecha_bird,Leg Low,-1,-39,9,0,7,1,1,0","Mecha_bird,Foot,14,14,-31,0,7,1,1,0","Mecha_bird,Leg Up,36,-82,20,0,9,1,1,0","Mecha_bird,Leg Low,38,-33,8,0,10,1,1,0","Mecha_bird,Foot,69,8,4,0,11,1,1,0",,,"Mecha_bird,Tail,-85,-185,-64,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attack1/3","Mecha_bird,Head,173,-181,-52,0,4,1,1,0","Mecha_bird,Neck,114,-164,-59,0,6,1,1,0","Mecha_bird,Body,31,-151,-88,0,7,1,1,0","Mecha_bird,Fly,-12,-355,-55,0,10,1,1,0",,,"Mecha_bird,Fly,-120,-292,-21,0,0,1,1,0",,,"Mecha_bird,Leg Up,6,-82,-6,0,6,1,1,0","Mecha_bird,Leg Low,-7,-39,-5,0,7,1,1,0","Mecha_bird,Foot,4,16,-41,0,7,1,1,0","Mecha_bird,Leg Up,36,-82,10,0,9,1,1,0","Mecha_bird,Leg Low,27,-33,-12,0,10,1,1,0","Mecha_bird,Foot,46,16,-6,0,11,1,1,0",,,"Mecha_bird,Tail,-85,-173,-57,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attack1/4","Mecha_bird,Head,173,-185,-49,0,4,1,1,0","Mecha_bird,Neck,115,-167,-54,0,6,1,1,0","Mecha_bird,Body,31,-151,-84,0,7,1,1,0","Mecha_bird,Fly,-42,-328,-41,0,10,1,1,0",,,"Mecha_bird,Fly,-110,-289,-22,0,0,1,1,0",,,"Mecha_bird,Leg Up,1,-82,-14,0,6,1,1,0","Mecha_bird,Leg Low,-27,-39,-25,0,7,1,1,0","Mecha_bird,Foot,-36,16,-51,0,7,1,1,0","Mecha_bird,Leg Up,36,-82,-10,0,9,1,1,0","Mecha_bird,Leg Low,-3,-33,-42,0,10,1,1,0","Mecha_bird,Foot,-17,16,-46,0,11,1,1,0",,,"Mecha_bird,Tail,-88,-148,-37,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Base,-42,26,-2,0,13,1,1,0",,,,,,,,,,
"Attack2/0","Mecha_bird,Head,163,-199,-28,0,4,1,1,0","Mecha_bird,Neck,117,-167,-49,0,6,1,1,0","Mecha_bird,Body,31,-151,-84,0,7,1,1,0","Mecha_bird,Fly,-57,-322,-31,0,10,1,1,0",,,"Mecha_bird,Fly,-104,-291,-27,0,0,1,1,0",,,"Mecha_bird,Leg Up,-1,-78,-28,0,6,1,1,0","Mecha_bird,Leg Low,-27,-39,-25,0,7,1,1,0","Mecha_bird,Foot,-36,16,-51,0,7,1,1,0","Mecha_bird,Leg Up,36,-82,-10,0,9,1,1,0","Mecha_bird,Leg Low,-3,-33,-42,0,10,1,1,0","Mecha_bird,Foot,-17,16,-46,0,11,1,1,0",,,"Mecha_bird,Tail,-88,-148,-37,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Base,-42,26,-2,0,13,1,1,0",,,,,,,,,,
"Attack2/1","Mecha_bird,Head,166,-198,-22,0,4,1,1,0","Mecha_bird,Neck,125,-167,-49,0,6,1,1,0","Mecha_bird,Body,38,-154,-85,0,7,1,1.1,0","Mecha_bird,Fly,-67,-292,-21,0,10,1,1,0",,,"Mecha_bird,Fly,-134,-253,-7,0,0,1,1,0",,,"Mecha_bird,Leg Up,9,-98,-38,0,6,1,1,0","Mecha_bird,Leg Low,-38,-75,-55,0,7,1,1,0","Mecha_bird,Foot,-78,-28,-81,0,7,1,1,0","Mecha_bird,Leg Up,26,-95,-40,0,9,1,1,0","Mecha_bird,Leg Low,-30,-71,-73,0,10,1,1,0","Mecha_bird,Foot,-66,-36,-77,0,11,1,1,0",,,"Mecha_bird,Tail,-88,-170,-57,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Base,-89,-23,-32,0,13,1,1,0","Movement,Lines,-81,-164,-90,0,0,1.5,1.5,0",,,,,,,"sprite_deal_damage",,
"Attack2/2","Mecha_bird,Head,160,-200,-11,0,4,1,1,0","Mecha_bird,Neck,127,-167,-50,0,6,1,1,0","Mecha_bird,Body,38,-155,-88,0,7,1,1.1,0","Mecha_bird,Fly,-67,-280,-18,0,10,1,1,0",,,"Mecha_bird,Fly,-134,-247,-3,0,0,1,1,0",,,"Mecha_bird,Leg Up,9,-101,-45,0,6,1,1,0","Mecha_bird,Leg Low,-48,-77,-65,0,7,1,1,0","Mecha_bird,Foot,-97,-46,-101,0,7,1,1,0","Mecha_bird,Leg Up,6,-105,-50,0,9,1,1,0","Mecha_bird,Leg Low,-50,-79,-73,0,10,1,1,0","Mecha_bird,Foot,-86,-46,-97,0,11,1,1,0",,,"Mecha_bird,Tail,-88,-178,-63,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Base,-106,-39,-52,0,13,1,1,0","Movement,Lines,-188,-139,-90,0,0,1.5,1.5,0",,,,,,,"sprite_deal_damage,hold",,
"Attack2/3","Mecha_bird,Head,166,-198,-22,0,4,1,1,0","Mecha_bird,Neck,125,-167,-49,0,6,1,1,0","Mecha_bird,Body,38,-154,-85,0,7,1,1.1,0","Mecha_bird,Fly,-67,-292,-21,0,10,1,1,0",,,"Mecha_bird,Fly,-134,-253,-7,0,0,1,1,0",,,"Mecha_bird,Leg Up,9,-98,-38,0,6,1,1,0","Mecha_bird,Leg Low,-38,-75,-55,0,7,1,1,0","Mecha_bird,Foot,-78,-28,-81,0,7,1,1,0","Mecha_bird,Leg Up,26,-95,-40,0,9,1,1,0","Mecha_bird,Leg Low,-30,-71,-73,0,10,1,1,0","Mecha_bird,Foot,-66,-36,-77,0,11,1,1,0",,,"Mecha_bird,Tail,-88,-170,-57,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stone,Base,-89,-23,-32,0,13,1,1,0",,,,,,,,,,
