Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"Animal_snail_sword,Head,116.4,-267.2,8,0,2,1,1,0","Animal_snail_sword,Neck,56,-233,6,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-12.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,164.4,-269.6,149,0,21,1,1,0","Animal_snail_sword,Shield,68.8,-141.2,27,0,0,1,1,0","Animal_snail_sword,Antenna,121.6,-319.2,-47,0,7,1,1,0","Animal_snail_sword,Antenna,83.6,-316.8,4,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/1,"Animal_snail_sword,Head,76.4,-289.2,23,0,2,1,1,0","Animal_snail_sword,Neck,24,-238,22,0,5,1,1,0","Animal_snail_sword,Body,-6.8,-127.6,2.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,102.4,-307.6,169,0,21,1,1,0","Animal_snail_sword,Shield,38.8,-149.2,42,0,0,1,1,0","Animal_snail_sword,Antenna,81.6,-341.2,-32,0,7,1,1,0","Animal_snail_sword,Antenna,43.6,-338.8,19,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/2,"Animal_snail_sword,Head,72.4,-303.2,34,0,2,1,1,0","Animal_snail_sword,Neck,24,-239,26,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,2.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,32.4,-315.6,-168,0,14,1,1,0","Animal_snail_sword,Shield,28.8,-163.2,42,0,0,1,1,0","Animal_snail_sword,Antenna,67.6,-347.2,-32,0,7,1,1,0","Animal_snail_sword,Antenna,29.6,-344.8,19,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/3,"Animal_snail_sword,Head,78.4,-297.2,25,0,2,1,1,0","Animal_snail_sword,Neck,32,-246,25,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-1.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,8.4,-315.6,-155,0,14,1,1,0","Animal_snail_sword,Shield,28.8,-163.2,38,0,0,1,1,0","Animal_snail_sword,Antenna,73.6,-347.2,-43,0,7,1,1,0","Animal_snail_sword,Antenna,37.6,-344.8,5,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Attack1/4,"Animal_snail_sword,Head,84.4,-293.2,16,0,2,1,1,0","Animal_snail_sword,Neck,27,-238,25,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-4.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_swing,24.4,-315.6,-179,0,14,1,1,1","Animal_snail_sword,Shield,28.8,-163.2,33,0,0,1,1,0","Animal_snail_sword,Antenna,79.6,-343.2,-43,0,7,1,1,0","Animal_snail_sword,Antenna,43.6,-340.8,5,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.6,sprite_deal_damage",,
Attack1/5,"Animal_snail_sword,Head,98.4,-281.2,16,0,2,1,1,0","Animal_snail_sword,Neck,40,-231,21,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-9.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_swing,86.4,-335.6,144,0,14,1,1,1","Animal_snail_sword,Shield,40.8,-167.2,28,0,0,1,1,0","Animal_snail_sword,Antenna,97.6,-339.2,-55,0,7,1,1,0","Animal_snail_sword,Antenna,61.6,-336.8,-7,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.3,sprite_deal_damage",,"Swing Flat Small,1000,1"
Attack1/6,"Animal_snail_sword,Head,138.4,-259.2,12,0,2,1,1,0","Animal_snail_sword,Neck,48.4,-224.4,28,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-18.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_swing,188.4,-299.6,126,0,14,1,1,1","Animal_snail_sword,Shield,50.8,-167.2,17,0,0,1,1,0","Animal_snail_sword,Antenna,147.6,-321.2,-55,0,7,1,1,0","Animal_snail_sword,Antenna,111.6,-318.8,-7,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.3,sprite_deal_damage",,
Attack1/7,"Animal_snail_sword,Head,138.4,-259.2,9,0,2,1,1,0","Animal_snail_sword,Neck,48.4,-224.4,25,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-21.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_swing,233,-153,88,0,14,1,1,1","Animal_snail_sword,Shield,50.8,-167.2,14,0,0,1,1,0","Animal_snail_sword,Antenna,147.6,-321.2,-58,0,7,1,1,0","Animal_snail_sword,Antenna,111.6,-318.8,-10,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.3,sprite_deal_damage",,
Attack1/8,"Animal_snail_sword,Head,160,-239,6,0,2,1,1,0","Animal_snail_sword,Neck,48.4,-224.4,21,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-25.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_swing,229,-106,62,0,14,1,1,1","Animal_snail_sword,Shield,50.8,-167.2,10,0,0,1,1,0","Animal_snail_sword,Antenna,171,-293,-66,0,7,1,1,0","Animal_snail_sword,Antenna,135.6,-300.8,-18,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_0.5,sprite_deal_damage",,
Attack1/9,"Animal_snail_sword,Head,160,-223,-9,0,2,1,1,0","Animal_snail_sword,Neck,48.4,-224.4,21,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-30.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,207,-74,59,0,14,1,1,1","Animal_snail_sword,Shield,53,-159,10,0,0,1,1,0","Animal_snail_sword,Antenna,171,-271,-75,0,7,1,1,0","Animal_snail_sword,Antenna,146,-278,-27,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprite_deal_damage,,
Attack1/10,"Animal_snail_sword,Head,140,-249,-1,0,2,1,1,0","Animal_snail_sword,Neck,48.4,-224.4,25,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-21.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,233,-163,98,0,14,1,1,1","Animal_snail_sword,Shield,50.8,-167.2,14,0,0,1,1,0","Animal_snail_sword,Antenna,149,-311,-68,0,7,1,1,0","Animal_snail_sword,Antenna,113,-308,-20,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/11,"Animal_snail_sword,Head,126,-249,9,0,2,1,1,0","Animal_snail_sword,Neck,52,-218,-10,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-17.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,188.4,-182.4,103,0,14,1,1,0","Animal_snail_sword,Shield,69,-134,10,0,0,1,1,0","Animal_snail_sword,Antenna,127,-311,-72,0,7,1,1,0","Animal_snail_sword,Antenna,91,-308,-24,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack1/12,"Animal_snail_sword,Head,114,-267,8,0,2,1,1,0","Animal_snail_sword,Neck,56,-233,6,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-12.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,164.4,-269.6,149,0,21,1,1,0","Animal_snail_sword,Shield,68.8,-141.2,27,0,0,1,1,0","Animal_snail_sword,Antenna,119,-319,-47,0,7,1,1,0","Animal_snail_sword,Antenna,81,-316,4,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/0,"Animal_snail_sword,Head,116.4,-267.2,8,0,2,1,1,0","Animal_snail_sword,Neck,56,-230,7,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-12.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,164.4,-269.6,149,0,21,1,1,0","Animal_snail_sword,Shield,68.8,-141.2,27,0,0,1,1,0","Animal_snail_sword,Antenna,121.6,-319.2,-47,0,7,1,1,0","Animal_snail_sword,Antenna,83.6,-316.8,4,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/1,"Animal_snail_sword,Head,116.4,-259.2,8,0,2,1,1,0","Animal_snail_sword,Neck,56,-220,7,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-21.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,148.4,-269.6,154,0,21,1,1,0","Animal_snail_sword,Shield,104.8,-159.2,14,0,0,1,1,0","Animal_snail_sword,Antenna,121.6,-311.2,-47,0,7,1,1,0","Animal_snail_sword,Antenna,83.6,-308.8,4,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/2,"Animal_snail_sword,Head,120.4,-247.2,5,0,2,1,1,0","Animal_snail_sword,Neck,60,-214,10,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-25.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,142.4,-269.6,163,0,21,1,1,0","Animal_snail_sword,Shield,122.8,-163.2,14,0,0,1,1,0","Animal_snail_sword,Antenna,125.6,-299.2,-50,0,7,1,1,0","Animal_snail_sword,Antenna,87.6,-296.8,1,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/3,"Animal_snail_sword,Head,120.4,-237.2,2,0,2,1,1,0","Animal_snail_sword,Neck,60.4,-208.4,11,0,5,1,1,0","Animal_snail_sword,Body,-10.8,-127.6,-28.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,98.4,-269.6,171,0,21,1,1,0","Animal_snail_sword,Shield,142.8,-169.2,11,0,0,1,1,0","Animal_snail_sword,Antenna,125.6,-289.2,-53,0,7,1,1,0","Animal_snail_sword,Antenna,87.6,-286.8,-2,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/4,"Animal_snail_sword,Head,134.4,-237.2,12,0,2,1,1,0","Animal_snail_sword,Neck,62.4,-208.4,11,0,5,1,1,0","Animal_snail_sword,Body,-8.8,-127.6,-28.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,100.4,-269.6,-179,0,21,1,1,0","Animal_snail_sword,Shield,152.8,-177.2,6,0,0,1,1,0","Animal_snail_sword,Antenna,121.6,-289.2,-42,0,7,1,1,0","Animal_snail_sword,Antenna,83.6,-286.8,9,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/5,"Animal_snail_sword,Head,138.4,-237.2,12,0,2,1,1,0","Animal_snail_sword,Neck,66,-208,1,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-28.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,104.4,-269.6,-172,0,21,1,1,0","Animal_snail_sword,Shield,166.8,-189.2,11,0,0,1,1,0","Animal_snail_sword,Antenna,125.6,-289.2,-42,0,7,1,1,0","Animal_snail_sword,Antenna,87.6,-286.8,9,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,play_time_mod_0.5,
Damaged/6,"Animal_snail_sword,Head,120.4,-247.2,5,0,2,1,1,0","Animal_snail_sword,Neck,60,-208,14,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-25.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,142.4,-269.6,163,0,21,1,1,0","Animal_snail_sword,Shield,122.8,-163.2,14,0,0,1,1,0","Animal_snail_sword,Antenna,125.6,-299.2,-50,0,7,1,1,0","Animal_snail_sword,Antenna,87.6,-296.8,1,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/7,"Animal_snail_sword,Head,116.4,-259.2,8,0,2,1,1,0","Animal_snail_sword,Neck,56,-219,7,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-21.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,148.4,-269.6,154,0,21,1,1,0","Animal_snail_sword,Shield,104.8,-159.2,14,0,0,1,1,0","Animal_snail_sword,Antenna,121.6,-311.2,-47,0,7,1,1,0","Animal_snail_sword,Antenna,83.6,-308.8,4,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Damaged/8,"Animal_snail_sword,Head,116.4,-267.2,8,0,2,1,1,0","Animal_snail_sword,Neck,56,-228,7,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-12.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,164.4,-269.6,149,0,21,1,1,0","Animal_snail_sword,Shield,68.8,-141.2,27,0,0,1,1,0","Animal_snail_sword,Antenna,121.6,-319.2,-47,0,7,1,1,0","Animal_snail_sword,Antenna,83.6,-316.8,4,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.5,
Default/0,"Animal_snail_sword,Head,150.4,-229.2,0,0,2,1,1,0","Animal_snail_sword,Neck,78.4,-218.4,-5,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-18.5,0,5,1,1,0",,,,,,,,,,,,,,,"Animal_snail_sword,Antenna,153.6,-283.2,-58,0,7,1,1,0","Animal_snail_sword,Antenna,117.6,-294.8,-2,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Animal_snail_sword,Head,142,-251,-4,0,2,1,1,0","Animal_snail_sword,Neck,78,-223,3,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-23.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,190.4,-259.6,138,0,21,1,1,0","Animal_snail_sword,Shield,94,-129,15,0,0,1,1,0","Animal_snail_sword,Antenna,147.6,-309.2,-58,0,7,1,1,0","Animal_snail_sword,Antenna,109.6,-306.8,-7,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Animal_snail_sword,Head,142.4,-231.2,-7,0,2,1,1,0","Animal_snail_sword,Neck,78,-210,-4,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-30.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,190.4,-243.6,134,0,21,1,1,0","Animal_snail_sword,Shield,94.8,-115.2,16,0,0,1,1,0","Animal_snail_sword,Antenna,153.6,-299.2,-64,0,7,1,1,0","Animal_snail_sword,Antenna,115.6,-296.8,-13,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"Animal_snail_sword,Head,148.4,-213.2,-14,0,2,1,1,0","Animal_snail_sword,Neck,84,-200,-9,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-35.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,196.4,-225.6,127,0,21,1,1,0","Animal_snail_sword,Shield,100.8,-97.2,9,0,0,1,1,0","Animal_snail_sword,Antenna,159.6,-281.2,-71,0,7,1,1,0","Animal_snail_sword,Antenna,121.6,-278.8,-20,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"Animal_snail_sword,Head,148.4,-161.2,-14,0,2,1,1,0","Animal_snail_sword,Neck,84,-149,-12,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-64.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,196.4,-141.6,104,0,21,1,1,0","Animal_snail_sword,Shield,231.2,-98.4,-45,0,0,1,1,0","Animal_snail_sword,Antenna,159.6,-221.2,-71,0,7,1,1,0","Animal_snail_sword,Antenna,121.6,-226.8,-20,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"Animal_snail_sword,Head,156.4,-89.2,-27,0,2,1,1,0","Animal_snail_sword,Neck,92,-101,-41,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-92.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,196.4,-83.6,76,0,21,1,1,0","Animal_snail_sword,Shield,283.2,-102.4,-101,0,0,1,1,0","Animal_snail_sword,Antenna,167.6,-149.2,-84,0,7,1,1,0","Animal_snail_sword,Antenna,129.6,-154.8,-33,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"Animal_snail_sword,Head,128.4,-79.2,-47,0,2,1,1,0","Animal_snail_sword,Neck,81,-118,-66,0,5,1,1,0","Animal_snail_sword,Body,-4.8,-127.6,-92.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,196.4,-45.6,95,0,21,1,1,0","Animal_snail_sword,Shield,347.2,-102.4,138,0,0,1,1,0","Animal_snail_sword,Antenna,173.6,-125.2,-84,0,7,1,1,0","Animal_snail_sword,Antenna,135.6,-130.8,-33,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"Animal_snail_sword,Head,106.4,-83.2,-47,0,6,1,1,0",,"Animal_snail_sword,Body,-4.8,-127.6,-92.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,196.4,-45.6,77,0,21,1,1,0","Animal_snail_sword,Shield,413.2,-102.4,86,0,0,1,1,0","Animal_snail_sword,Antenna,155.6,-117.2,-97,0,11,1,1,0","Animal_snail_sword,Antenna,131.6,-128.8,-65,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,"Animal_snail_sword,Head,86,-104,-57,0,6,1,1,0",,"Animal_snail_sword,Body,-4.8,-127.6,-92.5,0,5,1,1,0",,,,,,,,,,,,,"Animal_snail_sword,Sword_base,196,-40,81,0,21,1,1,0","Animal_snail_sword,Shield,413.2,-102.4,86,0,0,1,1,0","Animal_snail_sword,Antenna,145,-97,-127,0,11,1,1,0","Animal_snail_sword,Antenna,131.6,-128.8,-125,0,13,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
